-0.030000, -0.001250, -0.030000, -0.023750, -0.001250, 0.006250, 0.000000, -0.022500, -0.003750, -0.007500, -0.088750
-0.022500, 0.015000, -0.013750, -0.006250, 0.012500, 0.010000, 0.003750, -0.015000, -0.005000, 0.000000, -0.097500
-0.001250, 0.005000, -0.022500, -0.016250, -0.005000, -0.007500, -0.021250, -0.036250, -0.026250, -0.023750, -0.110000
0.002500, 0.025000, -0.002500, 0.002500, 0.023750, 0.021250, 0.006250, -0.002500, 0.006250, 0.005000, -0.107500
-0.006250, 0.001250, -0.026250, -0.018750, 0.006250, 0.012500, -0.002500, -0.012500, -0.007500, -0.017500, -0.097500
-0.020000, 0.011250, -0.020000, -0.010000, 0.022500, 0.027500, 0.013750, 0.002500, 0.006250, 0.001250, -0.088750
-0.032500, -0.026250, -0.052500, -0.040000, -0.007500, 0.008750, 0.001250, -0.010000, -0.012500, -0.018750, -0.085000
-0.021250, 0.001250, -0.031250, -0.020000, 0.012500, 0.018750, 0.006250, -0.011250, -0.018750, -0.011250, -0.102500
-0.046250, -0.043750, -0.063750, -0.050000, -0.020000, -0.008750, -0.018750, -0.035000, -0.042500, -0.032500, -0.102500
-0.066250, -0.050000, -0.067500, -0.050000, -0.018750, -0.008750, -0.015000, -0.033750, -0.038750, -0.023750, -0.110000
-0.086250, -0.080000, -0.102500, -0.076250, -0.041250, -0.026250, -0.026250, -0.042500, -0.047500, -0.030000, -0.102500

